actual,predicted,probability,error,probability_range
0,0,0.2721159156714981,0,0.2-0.4
0,0,0.14385665437225587,0,0.0-0.2
0,0,0.26112652324418656,0,0.2-0.4
0,0,0.2835318218098871,0,0.2-0.4
0,0,0.13936989664746405,0,0.0-0.2
0,0,0.40779312217179875,0,0.4-0.6
0,0,0.23733017840624301,0,0.2-0.4
1,0,0.21880790060735447,1,0.2-0.4
0,0,0.34811818926597765,0,0.2-0.4
1,1,0.6907512911335162,0,0.6-0.8
0,0,0.34051156683900013,0,0.2-0.4
0,0,0.3501740178563345,0,0.2-0.4
0,0,0.4486932563098075,0,0.4-0.6
0,0,0.341046104601424,0,0.2-0.4
0,0,0.1264235823873642,0,0.0-0.2
0,0,0.17610929465108713,0,0.0-0.2
0,0,0.33203912299947835,0,0.2-0.4
0,0,0.24193921081940753,0,0.2-0.4
1,1,0.535058870889033,0,0.4-0.6
0,0,0.40890567513525194,0,0.4-0.6
1,0,0.3372675307472536,1,0.2-0.4
0,0,0.20797513883663385,0,0.2-0.4
0,0,0.37710752581519696,0,0.2-0.4
0,1,0.5627768571697175,1,0.4-0.6
0,0,0.24412590614673932,0,0.2-0.4
1,0,0.4568828807948578,1,0.4-0.6
1,0,0.3233287941565068,1,0.2-0.4
1,0,0.15518162607299618,1,0.0-0.2
1,1,0.634312847468327,0,0.6-0.8
0,0,0.1349996428451761,0,0.0-0.2
0,0,0.46515663162072235,0,0.4-0.6
1,0,0.4337145501174616,1,0.4-0.6
0,0,0.16074031283008872,0,0.0-0.2
0,0,0.2805857239127647,0,0.2-0.4
0,0,0.20556070826724085,0,0.2-0.4
1,0,0.48525208089792143,1,0.4-0.6
0,1,0.6638066288642488,1,0.6-0.8
1,0,0.33094603296395486,1,0.2-0.4
1,0,0.31868246899677216,1,0.2-0.4
0,0,0.12460584058318754,0,0.0-0.2
0,0,0.24397523884278957,0,0.2-0.4
0,0,0.22571013191712175,0,0.2-0.4
1,0,0.4448309841458598,1,0.4-0.6
1,0,0.4230540418974321,1,0.4-0.6
0,0,0.3202746427346496,0,0.2-0.4
1,0,0.39279684530650794,1,0.2-0.4
0,0,0.2874185469298587,0,0.2-0.4
0,0,0.4601182237465272,0,0.4-0.6
1,0,0.37943226927845725,1,0.2-0.4
0,0,0.28503479199182036,0,0.2-0.4
0,0,0.13861138853645544,0,0.0-0.2
0,0,0.31134549172502796,0,0.2-0.4
0,0,0.11076221159289917,0,0.0-0.2
0,0,0.33042157720216453,0,0.2-0.4
0,0,0.1658911839264588,0,0.0-0.2
0,0,0.15102970024416987,0,0.0-0.2
0,0,0.13404195172155245,0,0.0-0.2
0,0,0.31667982231533226,0,0.2-0.4
0,0,0.24905826943110418,0,0.2-0.4
0,0,0.28240056057740986,0,0.2-0.4
0,0,0.37706336259428985,0,0.2-0.4
1,0,0.3740280285795963,1,0.2-0.4
0,0,0.169535430272096,0,0.0-0.2
0,0,0.2602188772823255,0,0.2-0.4
1,0,0.46296211116157643,1,0.4-0.6
0,0,0.15163788754255372,0,0.0-0.2
0,0,0.2961215310037411,0,0.2-0.4
0,0,0.2648497693507927,0,0.2-0.4
0,0,0.32429019479583815,0,0.2-0.4
0,0,0.22013987155075226,0,0.2-0.4
1,0,0.45880159655796227,1,0.4-0.6
0,0,0.19017247286957345,0,0.0-0.2
0,0,0.11865280668489138,0,0.0-0.2
0,0,0.1623410754385684,0,0.0-0.2
0,0,0.17575385546252809,0,0.0-0.2
0,0,0.05314731807666162,0,0.0-0.2
0,0,0.1442160472746066,0,0.0-0.2
0,0,0.3189794798275532,0,0.2-0.4
0,0,0.49592780252488533,0,0.4-0.6
0,0,0.26970934107951916,0,0.2-0.4
0,0,0.3492120205104806,0,0.2-0.4
0,0,0.34091768735394223,0,0.2-0.4
0,0,0.18922783045551708,0,0.0-0.2
0,0,0.262984862476245,0,0.2-0.4
0,0,0.26432019093393516,0,0.2-0.4
1,0,0.23844366885029958,1,0.2-0.4
0,0,0.19514671758645954,0,0.0-0.2
0,0,0.3562904770051687,0,0.2-0.4
0,0,0.10407648247941549,0,0.0-0.2
0,0,0.3722535817089785,0,0.2-0.4
1,1,0.6000663916552821,0,0.6-0.8
1,1,0.5654062160210181,0,0.4-0.6
0,0,0.2205916604786572,0,0.2-0.4
1,1,0.6096365750194628,0,0.6-0.8
1,0,0.43610621310710507,1,0.4-0.6
0,0,0.29702119347980793,0,0.2-0.4
0,0,0.11627691763720187,0,0.0-0.2
0,0,0.2856777727567432,0,0.2-0.4
1,1,0.5384115423848518,0,0.4-0.6
0,0,0.17164833836588433,0,0.0-0.2
0,1,0.6635120947493142,1,0.6-0.8
0,0,0.21161427786857434,0,0.2-0.4
0,0,0.18715073680824448,0,0.0-0.2
1,0,0.35585010808216194,1,0.2-0.4
1,0,0.45230494824874845,1,0.4-0.6
1,0,0.4476737811003667,1,0.4-0.6
0,0,0.40774581941084054,0,0.4-0.6
0,0,0.3310874807416177,0,0.2-0.4
0,0,0.15096686916908333,0,0.0-0.2
1,1,0.5783153159636827,0,0.4-0.6
1,0,0.3967060543505179,1,0.2-0.4
1,0,0.4976541733174525,1,0.4-0.6
0,0,0.23465944853556828,0,0.2-0.4
0,0,0.31647620995379416,0,0.2-0.4
1,0,0.33477961101628834,1,0.2-0.4
0,0,0.23621042487681612,0,0.2-0.4
0,0,0.4019594970865839,0,0.4-0.6
1,0,0.2302846787152668,1,0.2-0.4
